"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Christian McCaffrey","RB","SF","23.2","22.7","24","26.1","27.9","24.1","39.1","9.8","34.3","17.6","35.1","27.2","","","","","","","25.9","311.1"
"2","Jonathan Taylor","RB","IND","12.8","29.5","32.8","14.6","31.6","23.7","34.2","37.4","7.7","49.6","BYE","8.6","","","","","","","25.7","282.5"
"3","Josh Allen","QB","BUF","38.8","11.8","23","25.9","20.4","17.4","BYE","23.2","28.8","20.3","44.7","10.1","","","","","","","24","264.5"
"4","Jahmyr Gibbs","RB","DET","15","19.4","26.9","17.7","16.7","7.5","36.8","BYE","5.8","38.2","19.6","55.4","","","","","","","23.5","259"
"5","Jaxon Smith-Njigba","WR","SEA","19.4","18.3","20.6","13","27.2","30.2","26.3","BYE","22","20.3","20.6","37.1","","","","","","","23.2","255"
"6","Drake Maye","QB","NE","16.8","26.3","20.2","23.2","12.1","27.2","23.1","27.3","17.4","19.1","15.4","17","","","","","","","20.4","245.1"
"7","Patrick Mahomes II","QB","KC","26","23.1","13.2","27.3","27.7","31.5","26.2","25","11.5","BYE","14.3","18.1","","","","","","","22.2","243.9"
"8","De'Von Achane","RB","MIA","16.5","26.2","16.1","17.1","16.6","31","12.8","20.1","16.6","40.5","21.5","BYE","","","","","","","21.4","235"
"9","Jalen Hurts","QB","PHI","24.3","11.5","29","19.4","19.5","21.6","24","25.4","BYE","12","14.5","30.9","","","","","","","21.1","232.2"
"10","Dak Prescott","QB","DAL","7.8","23.1","14","31","28.3","22.3","23.3","8.6","16.4","BYE","24.3","28.1","","","","","","","20.7","227.2"
"11","Matthew Stafford","QB","LAR","13.6","18.3","14.8","27.4","25.6","9.3","27.4","BYE","26.8","26.9","13.2","22.9","","","","","","","20.6","226.3"
"12","Bijan Robinson","RB","ATL","24.4","19.8","16.1","28.1","BYE","35.8","21.2","5.8","17.6","10.8","30.3","14.7","","","","","","","20.4","224.6"
"13","George Pickens","WR","DAL","6","17.8","17.8","33.4","13.7","31.8","12.2","14.8","13.9","BYE","29.4","29.6","","","","","","","20","220.4"
"14","Amon-Ra St. Brown","WR","DET","8.5","39.2","20.7","26","18","13.7","20.6","BYE","18.7","16.8","6.2","29.9","","","","","","","19.8","218.3"
"15","Caleb Williams","QB","CHI","24.2","18","29.1","12.8","BYE","19.9","5.7","12.8","38.7","25.1","10.3","21.7","","","","","","","19.8","218.2"
"16","Daniel Jones","QB","IND","29.5","22.8","15.8","12.4","16.7","23.5","22.2","23.2","17.1","16.5","BYE","16.8","","","","","","","19.7","216.5"
"17","Justin Herbert","QB","LAC","27.9","18.8","15.6","14.5","15.6","18.8","29.9","26.3","28.7","14.7","4.3","BYE","","","","","","","19.6","215.1"
"18","Puka Nacua","WR","LAR","23.1","27.6","22.8","36","24.5","4.8","-","BYE","22.8","17.4","14.3","16.7","","","","","","","21","210"
"19","Bo Nix","QB","DEN","8.8","21.2","13.4","26.7","17.9","13.4","40","24.8","19.5","7.8","12.6","BYE","","","","","","","18.7","206.1"
"20","James Cook III","RB","BUF","21.2","26.5","20.8","22.5","4.9","8.7","BYE","33.6","13.5","10.7","20.4","21.9","","","","","","","18.6","204.7"
"21","Trey McBride","TE","ARI","12.1","13.8","15.3","12.2","9.1","21.2","29.4","BYE","16.5","27.7","27.5","16.9","","","","","","","18.3","201.7"
"22","Jared Goff","QB","DET","11.9","34","12.7","13.7","20.1","16.8","11.3","BYE","19.4","24.8","13.1","18.2","","","","","","","17.8","196"
"23","Ja'Marr Chase","WR","CIN","4.6","36.5","8.9","7.3","29","25.1","38.1","21.1","17.1","BYE","6","-","","","","","","","19.4","193.7"
"24","Baker Mayfield","QB","TB","22.6","19.9","17.7","19.9","26.7","19.6","12.1","4.1","BYE","22.9","17.8","5.5","","","","","","","17.2","188.8"
"25","Trevor Lawrence","QB","JAC","11.3","21.2","8.8","11.7","27.2","19.2","17.6","BYE","22.2","10.8","16","20.1","","","","","","","16.9","186.3"
"26","Davante Adams","WR","LAR","9.1","22.6","14.6","15.6","13.8","7.9","26.5","BYE","23","19.7","7.1","23.2","","","","","","","16.6","183.1"
"27","Josh Jacobs","RB","GB","14","14.4","12.4","31.7","BYE","32","18.8","13.5","20","19.7","4","-","","","","","","","18.1","180.5"
"28","Javonte Williams","RB","DAL","20.4","25","12.2","19","26.9","8.4","18.8","17.9","7.3","BYE","10.3","12.1","","","","","","","16.2","178.3"
"29","Drake London","WR","ATL","13.5","5.9","10.5","25","BYE","31.8","8.2","-","38.8","24.4","18.9","-","","","","","","","19.7","177"
"30","Jordan Love","QB","GB","15.9","20.9","12.1","26.3","BYE","16","13.4","28.3","10","7.8","17.7","7.1","","","","","","","15.9","175.4"
"31","Sam Darnold","QB","SEA","5.4","17.8","16.7","16.1","28.6","20","9.6","BYE","28.2","5.9","8.3","17.7","","","","","","","15.8","174.3"
"32","Rico Dowdle","RB","CAR","3.6","2.9","10.8","4","32.4","33.9","10.6","5.4","28.1","15.3","15","11.4","","","","","","","14.5","173.4"
"33","Kyren Williams","RB","LAR","13.9","10","19.2","10.4","31.1","16.7","8.5","BYE","17.4","22.4","16.6","5.8","","","","","","","15.6","172"
